id,Delay
285098,1
512979,1
131961,0
173271,0
130219,1
277620,0
402916,1
507390,1
314732,0
206047,1
91342,0
54027,1
6292,0
166065,0
195513,0
487265,0
373163,0
250580,0
76219,0
526760,1
452876,0
252607,0
527130,0
79609,0
524936,0
449367,1
392150,0
328246,0
425145,0
192112,0
267471,1
530571,1
281575,0
62283,1
136399,0
26118,0
373201,0
206363,1
69824,0
40577,0
518413,1
315934,0
305695,0
163764,1
67047,1
372710,1
376335,0
27911,1
508199,0
256836,1
413349,0
367254,0
253891,1
414790,1
264912,0
319688,0
19070,1
381957,0
338530,1
12715,0
450689,0
42113,1
478080,0
19724,0
87010,1
200991,1
245091,1
157334,0
165870,0
361418,0
333389,0
251002,1
90060,0
456946,0
400060,0
75772,1
206432,0
354180,0
263204,1
118125,1
399394,1
96407,0
156442,0
422277,0
45581,0
334616,1
252010,0
71738,0
290440,1
276317,1
304768,0
199840,0
469791,0
318635,1
461437,1
308370,1
272361,1
535418,0
277622,0
43712,0
472918,0
172190,0
124434,0
375597,1
211279,0
229854,0
429631,0
397782,1
530032,0
412806,0
369334,0
437942,0
114932,1
43605,1
403074,0
239179,0
107482,1
336906,1
228501,0
189916,0
440769,0
371080,1
527963,1
261688,0
316778,0
461928,0
60627,1
216777,0
537674,1
32845,1
332539,0
6451,0
227473,0
56391,0
170492,1
247575,0
160851,0
513101,1
453532,0
64756,0
364788,0
229529,1
195187,0
64304,0
435533,1
319667,0
158655,0
78330,0
539156,0
268657,1
151412,0
274313,1
93637,1
339107,1
468587,0
526537,0
355724,0
491732,1
498564,0
397930,0
156346,0
150241,0
481936,0
216935,1
402837,0
521983,1
179009,0
309789,0
94754,0
379371,0
235309,0
461451,1
471620,0
78730,1
228480,0
212246,0
153788,1
48391,0
449599,1
273614,1
153052,1
344299,0
247084,0
447493,1
217401,1
140582,0
401927,1
259518,1
298616,0
184211,0
465965,1
179914,0
456005,1
209231,0
263232,1
134411,0
40358,0
259924,0
77488,1
444765,0
6465,0
54767,1
32999,0
168654,0
458832,1
368814,0
329296,0
484960,1
474310,0
282441,1
334033,0
129699,1
400703,1
249947,0
341143,1
500408,1
47363,0
14084,1
244658,0
361317,0
214181,0
330373,0
158176,1
417201,0
302808,0
216585,1
287367,1
517525,1
304954,1
114568,0
113795,0
317003,0
353948,1
240542,0
533900,1
154596,1
23371,0
400035,0
114571,1
288634,0
218809,1
230879,0
416256,0
292735,0
152499,0
63789,0
440545,0
383993,0
32742,1
142198,1
399823,1
371406,0
390470,0
106543,0
210413,0
383175,1
68200,0
327814,0
273917,0
133221,1
478621,0
363986,1
383316,1
126680,0
237276,1
148347,1
320718,1
432965,1
403108,1
512060,1
153296,1
98228,1
202299,1
540,0
312630,0
362403,1
498908,0
523262,0
524174,0
51796,1
157717,1
338484,0
440779,1
162023,1
265867,0
346475,1
409651,0
472709,1
273442,0
287926,0
219548,0
5181,0
89928,0
480586,1
504043,1
233954,0
352555,0
8098,1
240120,0
239088,1
301169,1
510176,1
219516,0
202885,1
533492,0
197824,1
394043,1
269941,0
366557,0
24061,1
245985,0
430256,1
214799,0
39293,0
241594,0
428660,0
127813,1
392920,1
450320,0
110595,0
243003,1
497676,0
510781,0
517590,0
266708,0
19719,0
337178,1
434700,0
369764,0
496747,1
161773,0
364261,1
518987,0
88569,1
404364,1
329610,1
485757,1
369094,1
215670,0
255658,1
69178,0
265647,0
249655,1
219852,0
210990,0
256226,0
20773,1
130667,0
143185,0
205462,0
307839,1
267117,1
251285,0
212008,1
453634,0
391783,1
464925,0
335019,0
239798,0
57823,1
382599,1
87740,1
333390,0
60768,0
446851,1
241041,0
77534,0
415795,1
46786,1
107844,0
260591,0
517819,0
508722,0
181286,1
377885,0
392884,1
139067,1
57259,0
163381,0
520397,0
229307,0
370144,0
367386,0
172615,0
98512,0
15843,1
327145,0
160142,0
509742,0
462687,1
355783,0
481345,1
60457,1
371318,0
442373,0
428861,1
99180,1
258293,1
353732,1
2741,0
335491,1
201418,1
518139,0
180644,1
221604,0
248040,0
14152,1
314593,1
159666,0
417011,0
22306,0
238387,0
18038,1
310411,0
461348,1
218194,1
165478,1
211497,0
311606,0
104658,0
192071,0
318669,0
303893,1
323123,0
109995,0
183420,0
72291,0
269827,1
189364,0
4082,0
510627,0
343126,1
221708,0
288615,0
72919,0
104442,0
521264,1
157567,1
82251,1
452668,0
119493,1
491316,0
204130,0
410808,0
256452,1
311124,0
152821,1
198286,0
216314,0
225729,0
247325,1
164958,0
359012,0
20806,0
9632,1
43786,1
516927,1
357027,1
287045,0
168281,1
460639,1
391116,1
508786,1
287895,1
20109,0
524101,0
327408,1
314866,0
188744,0
235620,0
479487,1
479537,0
233065,1
129036,1
303006,1
42748,1
468972,0
201419,1
131643,1
322466,1
486361,1
324231,0
250949,0
469177,0
214252,0
302419,0
428040,1
432357,1
250228,0
190178,0
393867,0
29113,0
322380,1
248070,0
25781,0
17281,0
340520,1
158051,1
457188,0
385972,0
484128,1
390893,1
211833,0
137496,0
330544,1
232374,0
499090,0
499820,1
499520,1
156992,0
182521,1
1163,0
529128,0
530123,0
377351,0
143540,0
95008,1
373923,0
139442,0
265809,0
111032,1
160230,0
481825,1
315327,0
26440,0
234950,1
164059,1
517097,0
224535,0
220826,1
3484,0
450190,0
91505,0
204623,1
64468,0
374366,1
379415,1
131290,1
498597,1
531559,1
535235,0
429554,1
450746,1
7642,1
12788,1
294753,1
220743,1
145897,0
100435,1
73397,0
260974,1
348477,0
519844,0
74965,0
318331,1
229391,0
44824,0
380406,0
368332,0
390412,0
294729,1
181455,1
480962,1
127781,1
163892,0
53801,1
208893,1
495840,0
532771,1
378936,1
174791,0
81907,0
350029,1
357860,1
87643,0
200409,0
526119,0
222039,1
250074,0
297206,1
21569,0
384898,0
440201,0
154676,1
14809,1
10933,1
39112,0
57806,0
241466,0
297138,0
479126,0
181336,0
22983,0
268075,1
60052,1
97342,1
466490,1
43100,0
377617,0
294886,0
356856,0
152858,1
455061,0
152186,1
305441,0
212485,0
149103,1
493298,1
437258,1
443288,1
537667,1
177074,0
360074,0
401186,1
383855,0
186520,0
492514,0
435508,0
71007,0
297620,0
147400,0
18397,1
231417,0
403919,1
330001,1
498857,0
243556,1
98618,1
114879,0
419706,0
159640,0
2305,0
127838,1
232820,0
55784,1
294306,0
433926,0
42760,1
71120,0
527828,0
31906,1
384604,1
253813,0
143957,0
330331,0
111213,0
382885,0
143993,1
300089,1
534017,0
209425,0
269883,1
360465,0
521352,1
479602,0
415882,1
47891,0
357663,1
451606,0
226866,1
295931,1
106801,0
159983,0
496425,1
271920,1
309510,1
187652,1
479191,0
183132,0
95209,0
278920,1
61203,0
55548,0
105217,0
256845,0
209336,0
101221,1
509891,0
254458,0
245268,0
511139,0
36954,1
110804,0
511014,0
418688,0
161698,1
207769,1
131652,1
324355,0
56964,0
384444,0
317650,0
198613,0
269312,0
262224,0
31148,0
179093,0
434922,1
488123,0
240359,1
537836,1
81238,1
506527,0
400399,1
183569,1
530679,1
379066,1
215482,0
381618,0
235187,0
353412,0
137597,1
237848,1
47167,1
155830,0
348286,0
260293,0
469205,0
251563,0
38314,1
413797,1
191118,1
447773,1
213257,0
225033,0
174864,0
403187,1
246579,0
369908,0
424023,1
64916,1
292078,1
432363,0
109969,1
119752,0
61577,1
43908,1
481470,0
277923,0
183492,0
126090,1
210829,0
154004,1
410852,0
375353,0
274258,1
309590,0
161673,0
17066,0
445521,0
1948,1
279431,1
369753,0
534606,0
254833,0
258251,0
399177,1
169166,1
304764,0
279859,0
519424,1
408453,0
179336,1
312546,0
234301,0
176585,0
323099,1
216216,1
342706,1
83531,0
337804,0
452484,0
415993,1
425198,1
273026,1
358196,1
235890,1
112288,0
146604,0
504774,1
271936,0
167137,0
370757,0
341066,0
338171,0
358179,1
337455,1
526927,0
212300,0
38679,1
533341,0
147790,0
486882,1
392869,1
247741,0
222568,1
406021,0
250258,1
220380,1
272339,0
58475,0
475722,1
280875,0
140597,1
328817,0
364227,1
208103,1
189360,0
333471,0
376300,1
123640,0
200130,1
363411,0
202592,1
260032,1
357884,1
388841,0
49694,0
503949,0
467348,0
403980,0
131677,1
47036,1
903,0
108282,0
100686,1
155498,1
439077,0
260115,1
271427,0
431702,0
221031,0
463886,1
311193,0
378796,0
193501,0
444168,0
9871,1
498174,1
45561,0
65305,0
261421,1
183888,1
479041,0
210768,0
518475,0
340190,1
516017,0
389172,1
312094,0
455778,1
225806,0
402605,0
303870,0
95618,0
65374,0
530846,1
78396,0
54370,0
478073,0
226514,1
60902,0
24557,1
293984,0
391034,0
13157,1
131282,1
405897,0
151931,1
332778,1
429602,1
300496,0
154894,1
187256,1
267358,0
389534,0
286493,0
469398,0
445005,1
279747,1
321538,0
82658,0
186513,1
284733,0
226146,1
145057,1
352218,0
400352,0
459386,0
523038,1
76568,0
483495,1
507155,0
119466,0
154096,1
165898,1
370199,0
473276,0
458316,0
324002,0
424303,1
182462,1
10645,0
476849,0
319727,1
136142,0
111949,1
297955,0
509627,1
356594,0
225156,0
405862,0
18282,0
204325,1
423301,0
107954,0
177400,0
290949,0
475867,0
75658,1
59974,0
509055,1
288350,1
438934,0
446759,0
351340,0
71132,0
25571,1
375067,0
313225,0
106463,0
192852,0
459472,1
348741,1
417262,0
215362,0
522919,1
508359,1
426280,1
513079,0
23350,0
282554,0
438780,1
292906,0
364620,1
27744,0
523510,0
111128,0
504537,0
465661,1
104253,1
126156,1
39320,0
227032,0
250109,1
52156,1
217396,0
381111,1
81442,0
233885,1
17486,0
192120,0
169407,1
324666,1
261520,1
427076,1
132242,1
227284,0
183131,0
116090,1
129237,0
37877,1
352368,1
137580,1
257591,0
414541,1
464188,1
357084,0
159398,0
399895,1
421994,0
529478,1
447829,0
55276,0
465062,0
170556,0
491748,0
272149,1
175611,0
508112,0
30017,1
472565,1
72085,0
430518,0
358180,1
45176,1
184231,0
259496,0
111150,0
294287,1
413761,1
411956,1
378824,1
98863,1
442261,1
346137,1
266997,1
118902,0
130092,1
250199,1
116093,0
146219,0
493342,0
363688,1
492062,0
456578,0
4729,0
164607,0
68384,0
251637,0
499251,1
421723,1
108076,0
106506,1
285143,0
226154,0
8891,1
142188,1
147339,0
395764,0
332895,1
391164,0
68266,0
61634,0
521256,1
294286,0
518718,1
169686,1
183409,1
302057,0
186381,0
300379,0
14750,1
465060,0
452656,0
122043,1
303409,1
353007,0
392049,1
47000,1
270265,1
402530,0
262870,0
75322,1
480770,1
61439,1
296952,0
306363,0
124591,0
118422,1
247414,0
83812,1
202609,0
393672,0
112076,1
153446,1
414092,1
421077,0
467179,1
126799,1
432150,1
475174,1
326132,1
493,1
428929,0
184825,1
176353,0
189905,0
194347,0
51087,1
339337,0
450243,0
524171,0
209079,0
231221,1
471902,0
144720,1
373088,0
366588,0
3540,1
532671,1
269146,0
248924,1
171921,0
96728,0
201773,1
302630,1
157429,0
79462,0
337961,1
222484,0
218776,0
87957,1
450883,1
56120,0
339798,0
321240,1
199855,0
149886,0
75522,1
453936,0
280449,0
233639,1
281841,0
251663,1
284631,0
189671,0
517213,1
374210,0
337298,1
255651,1
77643,1
389047,1
447448,0
333074,1
228286,0
183380,1
169183,0
458138,1
525571,1
355379,0
209440,0
214710,0
226839,0
394826,0
423205,1
265946,0
382631,0
455595,0
455047,1
455090,0
469158,0
198116,1
107827,1
383999,0
49240,0
159658,1
69928,0
100040,1
320594,0
377557,0
849,1
325726,1
232272,0
260425,1
127313,0
209841,0
92496,1
488919,0
335879,1
173588,1
309365,1
477406,1
64418,1
383634,0
234990,0
194621,1
347452,0
56161,1
79094,0
250221,0
287261,0
46588,0
179990,0
383851,1
297182,0
236626,0
456512,1
215385,0
525616,0
380531,1
95450,0
410958,0
227904,0
349426,1
511335,0
490268,0
37037,1
534751,0
442946,0
221807,1
119004,0
476800,0
227527,0
101755,0
494410,1
476568,1
257537,1
221895,1
486285,0
97432,0
390175,1
106512,1
372830,1
27734,0
446138,1
158881,0
467401,0
332823,0
381903,1
271538,0
91591,0
186589,1
85289,1
8299,0
508439,0
121583,0
99279,1
436067,0
234960,0
161897,1
374178,1
481903,1
316910,1
196380,0
175976,0
80728,0
253996,0
146591,1
516309,0
498123,0
278185,0
144131,0
4077,0
44727,1
523933,0
414483,1
190622,0
400728,1
439645,0
377864,0
224442,0
151673,0
311420,0
180796,1
16341,0
209025,0
419056,0
41669,0
183430,1
198048,0
149479,1
175050,0
318296,1
223407,1
415608,0
2973,0
454451,1
116986,1
49868,0
107411,0
345399,0
323789,0
346747,0
162145,1
4549,0
445260,0
362438,1
483649,0
269542,0
116595,1
513293,0
511415,0
144933,0
176004,0
25477,1
462841,0
337003,0
211040,0
269917,0
505893,1
465073,0
476258,1
343440,1
39501,0
243024,1
488569,0
157462,1
140891,0
189594,1
89975,0
290253,1
307618,1
311967,0
79367,1
343480,1
76021,0
502317,1
138226,0
344218,1
424218,1
389526,0
488938,0
114581,0
207298,1
100671,1
36817,0
493535,0
251156,1
287703,0
432805,0
225691,0
332866,0
39140,1
60893,1
164347,0
509922,0
251193,0
340821,0
88296,0
189772,0
63372,0
321562,0
51968,0
47059,1
245752,0
163238,0
498474,0
239386,1
416853,1
276926,1
213506,0
79330,0
343648,1
422339,0
435507,0
487063,1
235737,1
92139,0
114706,0
251987,0
312853,0
78099,1
333355,0
199196,1
126284,0
362647,1
310278,1
529174,0
341691,0
90628,1
322165,0
95621,0
124016,0
296070,1
503604,1
449133,0
371109,1
130613,0
494210,0
131032,1
354728,1
23102,0
300845,1
158860,0
474979,0
234078,0
307072,0
304511,0
450318,0
362936,0
271769,0
315730,0
42378,1
91778,0
151703,0
399027,1
49581,1
516566,0
44538,1
